# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: CRP SP
# Propriedade: Site - GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20241006
# Data de término: 20251006
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/impresso/view/94,85,65,1.3076923076923077,8.215384615384615,184,0,0
/impresso/view/437/quanto-tempo-deve-durar-um-atendimento-psicologico,81,55,1.4727272727272727,8.563636363636364,154,0,0
/impresso/view/529,80,64,1.25,11.28125,159,0,0
/impresso/view/414,79,66,1.196969696969697,17.924242424242426,161,0,0
/impresso/view/490,78,55,1.4181818181818182,9,194,0,0
/impresso/view/418,77,60,1.2833333333333334,9.716666666666667,176,0,0
/impresso/view/100,76,68,1.1176470588235294,8.632352941176471,158,0,0
/impresso/view/451/premio-jonathas-salathiel-de-psicologia-e-relacoes-raciais,76,41,1.853658536585366,19.146341463414632,153,0,0
/impresso/view/457,76,63,1.2063492063492063,10.761904761904763,150,0,0
/impresso/view/438/quebra-de-sigilo-diante-da-violacao-de-direitos,74,53,1.3962264150943395,7.056603773584905,146,0,0
/impresso/view/465,74,58,1.2758620689655173,22.103448275862068,154,0,0
/impresso/view/422,72,58,1.2413793103448276,12.982758620689655,148,0,0
/impresso/view/53,72,56,1.2857142857142858,14.875,184,0,0
/impresso/view/62,72,62,1.1612903225806452,8.564516129032258,154,0,0
/impresso/view/91,72,64,1.125,11.265625,146,0,0
/impresso/view/434/producao-de-documentos-escritos,71,59,1.2033898305084745,8.440677966101696,134,0,0
/impresso/view/571,70,41,1.7073170731707317,9.365853658536585,177,0,0
/impresso/view/467,69,63,1.0952380952380953,11.285714285714286,137,0,0
/noticia/impresso/view/535,69,58,1.1896551724137931,4.0344827586206895,134,0,0
/impresso/view/430/estagio-supervisionado-em-psicologia,68,51,1.3333333333333333,5.215686274509804,132,0,0
/impresso/view/570,68,46,1.4782608695652173,21.32608695652174,136,0,0
/impresso/view/505,66,60,1.1,37.4,126,0,0
/impresso/view/506/neuropsicologia,66,58,1.1379310344827587,11.862068965517242,129,0,0
/impresso/view/93,66,60,1.1,14.1,132,0,0
/impresso/view/544,65,45,1.4444444444444444,12.71111111111111,121,0,0
/impresso/view/567,65,38,1.7105263157894737,23.263157894736842,159,0,0
/impresso/view/528,64,47,1.3617021276595744,9.574468085106384,122,0,0
/impresso/view/94/by10ZWNpZG,63,63,1,8.031746031746032,141,0,0
/impresso/view/59,62,54,1.1481481481481481,8.12962962962963,116,0,0
/impresso/view/92,62,49,1.2653061224489797,20.183673469387756,152,0,0
/impresso/view/163/psicologia-organizacional-e-do-trabalho-e-recursos-humanos-estrategias-para-a-atuacao-profissional,61,47,1.297872340425532,13.297872340425531,120,0,0
